,t,id,age,parent_ring,theta1,theta2
593,4,5,6,2,4.284660544658161,4.808259320256459
594,4,6,6,2,4.808259320256459,5.331858095854758
595,4,7,6,2,5.331858095854758,5.8554568714530575
596,4,8,8,2,5.8554568714530575,6.379055647051356
597,4,9,6,2,6.379055647051356,6.902654422649656
598,4,10,6,2,6.902654422649654,7.426253198247954
599,4,11,8,2,7.426253198247954,7.949851973846252
600,4,0,6,3,1.25,1.6426990816987241
601,4,1,8,3,1.6426990816987241,2.0353981633974483
602,4,2,9,3,2.0353981633974483,2.4280972450961724
603,4,3,8,3,2.4280972450961724,2.8207963267948966
604,4,4,7,3,2.8207963267948966,3.2134954084936207
605,4,5,8,3,3.2134954084936207,3.606194490192345
606,4,6,5,3,3.606194490192345,3.998893571891069
607,4,7,6,3,3.998893571891069,4.391592653589793
608,4,8,6,3,4.391592653589793,4.784291735288518
609,4,9,5,3,4.784291735288518,5.176990816987241
610,4,10,6,3,5.176990816987241,5.569689898685965
611,4,11,7,3,5.569689898685965,5.96238898038469
612,4,12,6,3,5.96238898038469,6.355088062083414
613,4,13,5,3,6.355088062083414,6.747787143782139
614,4,14,6,3,6.747787143782138,7.140486225480862
615,4,15,7,3,7.140486225480862,7.533185307179586
616,4,0,9,4,1.0,1.3141592653589793
617,4,1,7,4,1.3141592653589793,1.6283185307179586
618,4,2,10,4,1.6283185307179586,1.942477796076938
619,4,3,8,4,1.942477796076938,2.2566370614359172
620,4,4,6,4,2.2566370614359172,2.5707963267948966
621,4,5,6,4,2.5707963267948966,2.884955592153876
622,4,6,8,4,2.884955592153876,3.199114857512855
623,4,7,6,4,3.199114857512855,3.5132741228718345
624,4,8,6,4,3.5132741228718345,3.827433388230814
625,4,9,0,4,3.827433388230814,4.141592653589793
626,4,10,7,4,4.141592653589793,4.455751918948772
627,4,11,6,4,4.455751918948772,4.769911184307752
628,4,12,8,4,4.769911184307752,5.084070449666731
629,4,13,0,4,5.084070449666731,5.39822971502571
630,4,14,7,4,5.39822971502571,5.71238898038469
631,4,15,7,4,5.71238898038469,6.026548245743669
632,4,16,5,4,6.026548245743669,6.340707511102648
633,4,17,6,4,6.340707511102648,6.654866776461628
634,4,18,6,4,6.654866776461628,6.969026041820607
635,4,19,6,4,6.969026041820607,7.283185307179586
636,4,0,10,5,0.8333333333333333,1.0951327211324826
637,4,1,8,5,1.0951327211324826,1.3569321089316322
638,4,2,8,5,1.3569321089316322,1.6187314967307815
639,4,3,7,5,1.6187314967307815,1.880530884529931
640,4,4,6,5,1.880530884529931,2.1423302723290805
641,4,5,9,5,2.1423302723290805,2.4041296601282296
642,4,6,5,5,2.4041296601282296,2.665929047927379
643,4,7,8,5,2.665929047927379,2.9277284357265287
644,4,8,7,5,2.9277284357265287,3.189527823525678
645,4,9,8,5,3.189527823525678,3.451327211324828
